patient_id,national_id,sex,date_of_birth,county,sub_county,insurance_type
P10430,22186434,M,1950-03-31,Kericho,Soin Sigowet,NHIF
P10431,6045346,M,2014-11-30,Kericho,Kericho East,Cash
P10432,31157127,M,1958-12-15,Kericho,Kericho West,NHIF
P10433,7777989,M,2018-01-08,Bomet,Kericho East,NHIF
P10434,23993258,F,2005-10-14,Kericho,Soin Sigowet,NHIF
P10435,26895724,F,1990-12-16,Kericho,Belgut,Company
P10436,8892702,M,1964-04-20,Kericho,Belgut,CBHI
P10437,25484644,F,2004-11-05,Kericho,Soin Sigowet,Private
P10438,3085151,M,1973-06-21,Kericho,Bureti,NHIF
P10439,15031374,F,1996-07-27,Kericho,Soin Sigowet,CBHI
P10440,23202856,F,1963-05-04,Kericho,Kipkelion,CBHI
P10441,31493448,F,1964-11-02,Kericho,Belgut,Cash
P10442,14945582,F,1986-03-07,Kericho,Kericho West,NHIF
P10443,5906913,F,1990-02-09,Kericho,Kericho East,Company
P10444,2404641,M,1958-02-26,Kericho,Kipkelion,CBHI
P10445,30615596,F,1982-08-07,Kericho,Kericho East,Private
P10446,31751464,F,2014-03-25,Kericho,Kericho East,NHIF
P10447,19594686,F,2012-12-27,Kericho,Kericho East,Private
P10448,17065067,M,1966-10-29,Kericho,Belgut,Private
P10449,7232037,F,1954-03-04,Bomet,Soin Sigowet,CBHI
P10450,33836127,M,1994-10-02,Kericho,Kipkelion,NHIF
P10451,34113644,M,2012-01-25,Kericho,Kericho West,Private
P10452,21598570,F,1987-07-24,Kericho,Soin Sigowet,Private
P10453,8950433,M,1987-01-11,Kericho,Soin Sigowet,CBHI
P10454,37150230,M,1968-01-09,Kericho,Kipkelion,Cash
P10455,33815717,F,2013-09-23,Kericho,Bureti,CBHI
P10456,19188302,F,1951-02-23,Kericho,Kericho East,NHIF
P10457,17916609,M,1975-09-18,Kericho,Bureti,Private
P10458,36317445,M,1982-03-07,Kericho,Belgut,NHIF
P10459,37666230,F,1971-04-26,Kericho,Soin Sigowet,Cash
P10460,27955287,F,1999-07-15,Kericho,Kericho East,Cash
P10461,24678689,M,2019-08-19,Kericho,Kericho West,Cash
P10462,11663194,M,1983-11-04,Kericho,Belgut,Cash
P10463,17113845,M,1979-08-28,Kericho,Soin Sigowet,Private
P10464,20210158,F,2001-05-18,Kericho,Bureti,NHIF
P10465,4575246,M,1987-04-26,Kericho,Kipkelion,Company
P10466,22217500,F,1976-05-03,Kericho,Kipkelion,CBHI
P10467,23220157,F,1971-07-25,Bomet,Soin Sigowet,CBHI
P10468,7608403,F,1973-01-07,Kericho,Soin Sigowet,Cash
P10469,34140668,F,1993-09-03,Kericho,Bureti,Private
P10470,36102880,M,2006-03-31,Kericho,Kericho West,Private
P10471,36088075,F,2008-01-03,Kericho,Kericho East,Private
P10472,5873429,M,1954-11-14,Kericho,Bureti,CBHI
P10473,27355773,F,1990-06-22,Kericho,Belgut,Company
P10474,395871,M,2017-10-27,Kericho,Kipkelion,NHIF
P10475,7122636,F,2011-07-14,Kericho,Kipkelion,NHIF
P10476,2068239,F,1964-01-10,Kericho,Kericho West,Private
P10477,9668746,F,2010-10-06,Bomet,Soin Sigowet,Cash
P10478,8270172,M,1950-06-14,Kericho,Kipkelion,Company
P10479,23075494,M,1987-01-08,Bomet,Soin Sigowet,CBHI
P10480,16961214,M,1960-04-13,Kericho,Soin Sigowet,CBHI
P10481,36887368,M,1976-01-29,Kericho,Kericho East,Cash
P10482,22203031,F,1961-07-03,Kericho,Soin Sigowet,Private
P10483,21326254,F,1990-06-06,Kericho,Kipkelion,Cash
P10484,24460741,F,1988-06-04,Kericho,Kericho East,Cash
P10485,24124698,M,2010-12-20,Kericho,Bureti,Company
P10486,37022070,M,1965-10-08,Kericho,Kipkelion,NHIF
P10487,13182324,F,2015-10-23,Bomet,Soin Sigowet,NHIF
P10488,39050010,F,2019-01-04,Kericho,Kericho West,NHIF
P10489,9974591,F,1985-03-19,Kericho,Kipkelion,Cash
P10490,26627802,F,1995-01-20,Kericho,Soin Sigowet,Private
P10491,29945348,M,1966-01-27,Kericho,Kipkelion,Private
P10492,15552474,M,1973-09-19,Kericho,Kericho West,NHIF
P10493,31519304,F,1954-03-02,Kericho,Soin Sigowet,Cash
P10494,38831299,M,1983-10-17,Kericho,Belgut,Cash
P10495,16883679,F,1969-12-30,Kericho,Belgut,Cash
P10496,442764,M,1989-06-19,Kericho,Kericho West,NHIF
P10497,12543028,M,1982-07-01,Kericho,Soin Sigowet,NHIF
P10498,32314036,F,1992-12-22,Kericho,Kipkelion,Private
P10499,2895368,M,2001-06-14,Kericho,Kericho West,Private
