patient_id,national_id,name,sex,date_of_birth,county,sub_county,insurance_type,contact
P10293,06617375,Elizabeth Kipchoge,F,1969-12-01,Kericho,Soin Sigowet,CBHI,0781-694804
P10294,29915693,Richard Jepkosgei,F,1985-02-02,Kericho,Soin Sigowet,CBHI,0798-612254
P10295,32398220,Ann Kipchoge,M,1976-07-03,Kericho,Kericho East,NHIF,0728-456419
P10296,13882632,David Nyong'o,F,1981-04-01,Kericho,Kericho East,Company,0799-563426
P10297,02998629,James Kiptoo,M,1952-01-11,Kericho,Bureti,NHIF,0796-919268
P10298,11707359,Grace Omondi,M,1979-09-11,Kericho,Belgut,Company,0739-916514
P10299,29000053,Sarah Korir,F,1952-08-14,Kericho,Kipkelion,Private,0767-706539
P10300,14414723,Joseph Kipchoge,M,1974-12-21,Kericho,Soin Sigowet,NHIF,0783-204918
P10301,24547955,Esther Korir,F,1967-09-06,Kericho,Kericho East,Cash,0795-983601
P10302,26081140,Thomas Njoroge,F,2002-08-30,Kericho,Bureti,Cash,0768-732276
P10303,39605529,Lucy Atieno,M,2010-04-19,Kericho,Bureti,NHIF,0740-412219
P10304,09486412,Sarah Njoroge,F,1987-07-10,Kericho,Kericho West,CBHI,0759-533290
P10305,11625591,Ruth Omondi,M,1993-12-05,Kericho,Kericho West,Private,0750-962561
P10306,24094711,Mercy Kipchoge,M,1993-06-23,Kericho,Kericho West,Company,0781-617768
P10307,32999166,Ruth Mwangi,F,2013-09-16,Kericho,Belgut,Company,0731-184678
P10308,19601823,John Jepkosgei,M,1974-08-29,Kericho,Kipkelion,Cash,0731-899568
P10309,36891500,Richard Nyong'o,M,2001-05-19,Kericho,Bureti,CBHI,0756-655942
P10310,36665148,Mary Nyong'o,M,1988-02-22,Kericho,Soin Sigowet,Private,0748-995133
P10311,23392605,Charles Kiptoo,M,1989-05-23,Kericho,Kericho East,Private,0736-930855
P10312,28733806,Richard Njoroge,M,2005-04-12,Kericho,Kericho West,Private,0717-683459
P10313,36156146,Esther Kiptoo,M,1979-01-14,Kericho,Bureti,Cash,0783-373978
P10314,09099218,Thomas Chebet,F,1955-04-27,Kericho,Soin Sigowet,Private,0799-986235
P10315,21615545,Grace Korir,M,2018-04-25,Kericho,Soin Sigowet,Company,0772-245691
P10316,25177389,William Mwangi,F,1956-10-10,Kericho,Kericho East,Company,0775-867384
P10317,32752111,Ann Nyong'o,F,2002-03-18,Kericho,Soin Sigowet,NHIF,0768-750780
P10318,35864619,Ann Chebet,F,1969-07-17,Nakuru,Belgut,Private,0773-374430
P10319,36729389,Lucy Njoroge,M,2000-10-16,Kericho,Belgut,Cash,0797-880149
P10320,30842011,Mary Chebet,M,1961-02-23,Bomet,Kericho West,Company,0768-100538
P10321,20257852,Michael Korir,M,1974-08-02,Kericho,Soin Sigowet,Cash,0742-184480
P10322,26598033,Sarah Kipchoge,F,2015-02-18,Kericho,Kericho West,Company,0793-193820
P10323,14322453,Elizabeth Kipchoge,F,1956-12-28,Kericho,Kipkelion,Private,0776-796555
P10324,23056871,John Kipchoge,M,1987-11-21,Kericho,Kericho West,Company,0719-334492
P10325,06925738,James Chebet,F,1982-12-23,Bomet,Bureti,Private,0758-892932
P10326,04591026,Robert Korir,M,2004-10-02,Kericho,Kericho West,Company,0754-839318
P10327,29687879,Robert Mwangi,M,1957-10-11,Bomet,Kericho East,Private,0725-703847
P10328,28815791,Joseph Njoroge,F,1962-07-18,Kericho,Bureti,NHIF,0741-666715
P10329,19120712,Mercy Atieno,M,2009-01-25,Kericho,Bureti,Private,0776-721621
P10330,19833492,Michael Mwangi,M,1971-06-22,Kericho,Belgut,NHIF,0740-611753
P10331,35452707,Mercy Chebet,M,1982-05-25,Bomet,Bureti,Private,0759-981959
P10332,24522416,Richard Mwangi,M,2018-06-06,Kericho,Kericho East,NHIF,0785-169114
P10333,02672736,William Jepkosgei,M,1985-09-14,Kericho,Bureti,CBHI,0763-533818
P10334,36008256,Joseph Chebet,M,1974-11-23,Kericho,Bureti,NHIF,0775-308927
P10335,21927842,Robert Omondi,F,2002-08-12,Kericho,Soin Sigowet,NHIF,0749-815547
P10336,16406759,Grace Kipchoge,M,1988-12-24,Kericho,Belgut,CBHI,0787-156416
P10337,00849932,Sarah Chebet,M,2012-12-07,Kericho,Kericho West,Company,0754-635629
P10338,24955736,William Korir,M,2017-04-07,Kericho,Bureti,NHIF,0713-443926
P10339,35155262,Jane Kiptoo,M,1973-08-04,Kericho,Kipkelion,NHIF,0773-566623
P10340,33528260,Ann Kipchoge,M,1982-12-27,Kericho,Bureti,NHIF,0783-790840
P10341,34146661,Elizabeth Jepkosgei,M,1953-12-14,Kericho,Kericho East,Private,0715-583472
P10342,12009865,Joseph Korir,M,1999-08-08,Kericho,Soin Sigowet,Company,0738-429354
P10343,18203814,Jane Njoroge,M,2001-04-11,Kericho,Kericho East,CBHI,0796-153283
P10344,03082216,Grace Omondi,F,1956-03-08,Kericho,Belgut,Cash,0749-435188
P10345,00534803,Esther Nyong'o,F,1968-01-02,Kericho,Kipkelion,Cash,0789-348575
P10346,33108875,Ann Atieno,M,2015-09-18,Bomet,Kipkelion,Private,0729-106519
P10347,36342484,John Jepkosgei,F,2007-01-20,Kericho,Soin Sigowet,NHIF,0752-101877
P10348,06975901,Joseph Kiptoo,M,1997-07-13,Kericho,Belgut,Company,0717-245828
P10349,02946097,William Chebet,M,1996-08-18,Kericho,Soin Sigowet,Cash,0768-865186
P10350,33918684,Richard Chebet,M,2007-03-03,Kericho,Belgut,NHIF,0785-681163
P10351,15889483,Jane Korir,F,1973-06-01,Kericho,Bureti,Company,0799-951853
P10352,30384066,David Njoroge,F,1970-12-16,Kericho,Kericho West,Private,0784-211259
P10353,30169914,Elizabeth Korir,F,1978-03-05,Kericho,Kericho East,CBHI,0755-888312
P10354,31094664,Charles Kiptoo,F,1960-10-04,Kericho,Kericho West,Cash,0799-717141
P10355,09953842,Michael Njoroge,M,2013-10-20,Kericho,Bureti,Company,0775-150793
P10356,11668067,Lucy Kiptoo,M,1986-04-13,Kericho,Belgut,CBHI,0780-355196
P10357,09381353,Charles Chebet,M,1951-01-27,Kericho,Kericho West,Private,0735-943510
P10358,39079089,Ann Chebet,F,1956-09-23,Kericho,Kericho East,Private,0792-554928
P10359,22249937,Robert Chebet,M,1953-10-31,Nakuru,Belgut,NHIF,0731-687543
P10360,01978524,Joseph Nyong'o,F,2011-04-18,Kericho,Kericho West,Cash,0737-291381
P10361,09974486,William Nyong'o,M,2005-02-04,Kericho,Kipkelion,Private,0792-402610
P10362,32147222,Jane Omondi,M,1957-11-14,Kericho,Belgut,Private,0763-304758
P10363,36484183,Thomas Jepkosgei,M,1984-04-25,Kericho,Soin Sigowet,Cash,0771-657900
P10364,37960204,Ruth Njoroge,F,1984-11-04,Kericho,Kericho West,NHIF,0750-711324
P10365,03931991,John Kiptoo,F,1997-07-01,Kericho,Kipkelion,Private,0730-202353
P10366,35815301,Grace Kiptoo,M,2018-07-19,Nakuru,Kericho West,CBHI,0759-463959
P10367,15874678,Sarah Korir,F,2016-03-21,Kericho,Bureti,CBHI,0713-820817
P10368,37822992,Ann Atieno,M,2000-07-08,Nakuru,Kericho West,Company,0779-416279
P10369,06057071,Ruth Kipchoge,M,1970-11-14,Kericho,Kericho West,NHIF,0777-589100
P10370,13520046,David Atieno,M,1980-07-27,Kericho,Kericho West,Cash,0717-122251
P10371,07443755,Richard Korir,F,1956-07-04,Kericho,Soin Sigowet,Company,0785-203444
P10372,09157117,Lucy Njoroge,M,2015-09-14,Nakuru,Belgut,Company,0793-424278
P10373,23946158,Esther Atieno,M,2009-09-16,Kericho,Kericho West,Company,0749-851805
P10374,11925802,Lucy Korir,M,2012-12-24,Nakuru,Kipkelion,Company,0782-133286
P10375,14824030,Mercy Njoroge,M,1994-07-07,Kericho,Bureti,NHIF,0740-455427
P10376,22531766,Sarah Chebet,F,1951-01-09,Kericho,Kericho West,Private,0798-169458
P10377,00085978,William Chebet,M,1984-08-16,Kericho,Soin Sigowet,Company,0731-523604
P10378,36643049,Joseph Njoroge,F,1959-02-06,Kericho,Belgut,CBHI,0793-876803
P10379,30285387,Grace Korir,M,1952-12-30,Kericho,Kericho East,Cash,0743-207175
P10380,25196553,David Korir,M,2015-09-02,Kericho,Kipkelion,NHIF,0753-708728
P10381,28945619,Ruth Kipchoge,M,2004-06-26,Bomet,Belgut,Private,0716-203439
P10382,27466307,Michael Jepkosgei,F,2009-04-07,Kericho,Bureti,Private,0722-150502
P10383,32946982,Richard Omondi,M,1954-11-22,Kericho,Kericho East,Company,0721-401943
P10384,13399950,Mercy Nyong'o,M,1952-04-23,Kericho,Kericho West,Cash,0720-584964
P10385,26673583,Elizabeth Kiptoo,F,1993-11-17,Bomet,Soin Sigowet,Cash,0721-757657
P10386,24898766,Joseph Korir,F,1983-02-21,Kericho,Belgut,NHIF,0743-550576
P10387,18022891,William Jepkosgei,M,1963-07-24,Kericho,Soin Sigowet,NHIF,0720-784452
P10388,39575872,Esther Mwangi,M,1999-09-01,Kericho,Belgut,CBHI,0763-648803
P10389,15813669,Ruth Atieno,F,1976-10-23,Kericho,Belgut,NHIF,0774-684629
P10390,09895045,Richard Atieno,M,2017-12-06,Kericho,Kericho West,Private,0737-927297
P10391,28412209,Robert Kipchoge,M,2011-04-15,Kericho,Kericho West,Private,0786-364427
P10392,26044894,James Chebet,F,1999-07-12,Kericho,Bureti,CBHI,0768-994112
P10393,35068543,Mercy Atieno,F,1960-02-05,Kericho,Kericho West,Private,0782-702696
P10394,37761068,Elizabeth Chebet,M,1975-09-01,Kericho,Kipkelion,Cash,0762-370492
P10395,31745622,Ruth Atieno,M,1965-06-13,Kericho,Belgut,Private,0789-723797
P10396,26561202,Joseph Kipchoge,F,2011-12-13,Kericho,Kericho East,Company,0744-481120
P10397,20867455,David Kiptoo,F,1994-02-08,Kericho,Soin Sigowet,NHIF,0739-237407
P10398,18080469,Charles Njoroge,F,2004-04-10,Kericho,Kericho East,Private,0766-316943
P10399,34661824,Jane Nyong'o,F,1955-01-16,Kericho,Kericho West,NHIF,0749-826618
P10400,35184253,Joseph Korir,M,1965-08-03,Kericho,Kericho West,NHIF,0741-133567
P10401,13362031,Mary Njoroge,F,1983-01-18,Kericho,Belgut,CBHI,0760-750226
P10402,24995822,John Jepkosgei,F,2003-04-18,Kericho,Kericho West,Company,0785-664458
P10403,17358374,Ann Korir,M,1975-07-30,Kericho,Belgut,NHIF,0730-974685
P10404,15107014,Michael Jepkosgei,M,1974-02-21,Kericho,Belgut,CBHI,0712-985899
P10405,08879449,John Nyong'o,M,2003-12-07,Kericho,Kericho East,Private,0742-722924
P10406,28441193,Lucy Kiptoo,F,1981-04-14,Kericho,Bureti,Private,0769-409793
P10407,26652456,Thomas Atieno,M,1950-08-29,Kericho,Soin Sigowet,Cash,0781-762708
P10408,20030381,Mercy Kiptoo,M,1993-03-21,Kericho,Bureti,Cash,0791-432982
P10409,20051533,William Kiptoo,M,1963-06-14,Kericho,Kericho West,NHIF,0786-513776
P10410,01708275,David Korir,F,1976-07-09,Kericho,Belgut,Company,0759-854136
P10411,12744991,Richard Atieno,F,2015-03-08,Kericho,Kericho West,CBHI,0791-903587
P10412,20145734,Ann Omondi,M,2008-12-30,Kericho,Kipkelion,Private,0747-199582
P10413,37515980,Robert Kiptoo,M,2010-12-24,Bomet,Bureti,NHIF,0738-463328
P10414,22234317,Lucy Mwangi,F,1973-05-18,Kericho,Bureti,Company,0725-581154
P10415,04779208,Richard Atieno,F,1967-06-15,Kericho,Kericho East,Company,0777-405523
P10416,09218427,Mary Korir,M,1980-09-28,Kericho,Kipkelion,Company,0728-423983
P10417,32720997,Sarah Chebet,F,2006-08-12,Kericho,Bureti,NHIF,0710-562380
P10418,38673424,Michael Korir,M,1993-12-03,Kericho,Kericho East,Private,0788-544748
P10419,28791411,Jane Mwangi,F,1984-05-22,Kericho,Kericho East,CBHI,0735-848482
P10420,35637075,John Njoroge,M,1951-08-11,Kericho,Kericho East,Private,0738-810998
P10421,08652400,Ann Kiptoo,M,1984-05-30,Kericho,Kipkelion,Cash,0731-166943
P10422,19517123,Mary Kiptoo,F,2015-04-19,Kericho,Kipkelion,CBHI,0753-544803
P10423,32895335,Robert Njoroge,F,2017-04-18,Kericho,Kericho West,Company,0712-333329
P10424,01470575,Robert Jepkosgei,M,1961-01-18,Kericho,Soin Sigowet,NHIF,0758-997755
P10425,03260616,William Omondi,M,2009-05-22,Kericho,Soin Sigowet,NHIF,0716-806218
P10426,25518399,Jane Nyong'o,M,1999-02-06,Kericho,Belgut,Private,0736-811802
P10427,28244206,John Kiptoo,M,2009-06-08,Kericho,Bureti,CBHI,0787-817240
P10428,34331874,Jane Chebet,M,1975-05-13,Kericho,Kericho East,Company,0735-723304
P10429,13534059,William Omondi,F,2013-02-09,Kericho,Bureti,Private,0715-661608
P10430,22186434,Michael Nyong'o,M,1950-03-31,Kericho,Soin Sigowet,NHIF,0724-955687
P10431,06045346,Ruth Korir,M,2014-11-30,Kericho,Kericho East,Cash,0792-336567
P10432,31157127,Lucy Kiptoo,M,1958-12-15,Kericho,Kericho West,NHIF,0747-468920
P10433,07777989,David Mwangi,M,2018-01-08,Bomet,Kericho East,NHIF,0727-779762
P10434,23993258,Sarah Njoroge,F,2005-10-14,Kericho,Soin Sigowet,NHIF,0757-934450
P10435,26895724,Sarah Chebet,F,1990-12-16,Kericho,Belgut,Company,0763-764916
P10436,08892702,Sarah Chebet,M,1964-04-20,Kericho,Belgut,CBHI,0771-921682
P10437,25484644,Charles Korir,F,2004-11-05,Kericho,Soin Sigowet,Private,0771-599215
P10438,03085151,Jane Nyong'o,M,1973-06-21,Kericho,Bureti,NHIF,0796-637885
P10439,15031374,Richard Atieno,F,1996-07-27,Kericho,Soin Sigowet,CBHI,0722-543777
P10440,23202856,Grace Nyong'o,F,1963-05-04,Kericho,Kipkelion,CBHI,0716-111758
P10441,31493448,Sarah Omondi,F,1964-11-02,Kericho,Belgut,Cash,0740-438384
P10442,14945582,Mary Omondi,F,1986-03-07,Kericho,Kericho West,NHIF,0768-554920
P10443,05906913,Richard Nyong'o,F,1990-02-09,Kericho,Kericho East,Company,0793-118205
P10444,02404641,Joseph Mwangi,M,1958-02-26,Kericho,Kipkelion,CBHI,0791-411620
P10445,30615596,Esther Jepkosgei,F,1982-08-07,Kericho,Kericho East,Private,0768-439673
P10446,31751464,Mercy Atieno,F,2014-03-25,Kericho,Kericho East,NHIF,0794-327102
P10447,19594686,David Njoroge,F,2012-12-27,Kericho,Kericho East,Private,0773-243941
P10448,17065067,Jane Chebet,M,1966-10-29,Kericho,Belgut,Private,0768-944900
P10449,07232037,Michael Njoroge,F,1954-03-04,Bomet,Soin Sigowet,CBHI,0725-890561
P10450,33836127,Charles Atieno,M,1994-10-02,Kericho,Kipkelion,NHIF,0780-543958
P10451,34113644,Richard Nyong'o,M,2012-01-25,Kericho,Kericho West,Private,0723-496773
P10452,21598570,Mercy Atieno,F,1987-07-24,Kericho,Soin Sigowet,Private,0745-507451
P10453,08950433,Lucy Nyong'o,M,1987-01-11,Kericho,Soin Sigowet,CBHI,0748-963818
P10454,37150230,Esther Njoroge,M,1968-01-09,Kericho,Kipkelion,Cash,0797-453788
P10455,33815717,Robert Korir,F,2013-09-23,Kericho,Bureti,CBHI,0771-696684
P10456,19188302,Jane Omondi,F,1951-02-23,Kericho,Kericho East,NHIF,0758-248154
P10457,17916609,Mary Jepkosgei,M,1975-09-18,Kericho,Bureti,Private,0717-807903
P10458,36317445,Lucy Jepkosgei,M,1982-03-07,Kericho,Belgut,NHIF,0788-988791
P10459,37666230,Esther Jepkosgei,F,1971-04-26,Kericho,Soin Sigowet,Cash,0798-780148
P10460,27955287,Joseph Mwangi,F,1999-07-15,Kericho,Kericho East,Cash,0735-735989
P10461,24678689,Charles Jepkosgei,M,2019-08-19,Kericho,Kericho West,Cash,0767-281799
P10462,11663194,James Korir,M,1983-11-04,Kericho,Belgut,Cash,0781-370233
P10463,17113845,Sarah Atieno,M,1979-08-28,Kericho,Soin Sigowet,Private,0715-257430
P10464,20210158,Mercy Kipchoge,F,2001-05-18,Kericho,Bureti,NHIF,0750-638325
P10465,04575246,Sarah Omondi,M,1987-04-26,Kericho,Kipkelion,Company,0721-457326
P10466,22217500,Michael Njoroge,F,1976-05-03,Kericho,Kipkelion,CBHI,0770-674943
P10467,23220157,John Chebet,F,1971-07-25,Bomet,Soin Sigowet,CBHI,0789-349140
P10468,07608403,David Mwangi,F,1973-01-07,Kericho,Soin Sigowet,Cash,0713-629941
P10469,34140668,Ann Omondi,F,1993-09-03,Kericho,Bureti,Private,0751-626184
P10470,36102880,Elizabeth Korir,M,2006-03-31,Kericho,Kericho West,Private,0797-534955
P10471,36088075,Elizabeth Jepkosgei,F,2008-01-03,Kericho,Kericho East,Private,0713-570834
P10472,05873429,David Kipchoge,M,1954-11-14,Kericho,Bureti,CBHI,0719-688941
P10473,27355773,Grace Kiptoo,F,1990-06-22,Kericho,Belgut,Company,0750-117498
P10474,00395871,Elizabeth Omondi,M,2017-10-27,Kericho,Kipkelion,NHIF,0799-968174
P10475,07122636,Ann Omondi,F,2011-07-14,Kericho,Kipkelion,NHIF,0746-883548
P10476,02068239,Joseph Mwangi,F,1964-01-10,Kericho,Kericho West,Private,0760-915916
P10477,09668746,Esther Kiptoo,F,2010-10-06,Bomet,Soin Sigowet,Cash,0711-666995
P10478,08270172,Esther Korir,M,1950-06-14,Kericho,Kipkelion,Company,0778-660187
P10479,23075494,Lucy Jepkosgei,M,1987-01-08,Bomet,Soin Sigowet,CBHI,0728-264288
P10480,16961214,Grace Atieno,M,1960-04-13,Kericho,Soin Sigowet,CBHI,0716-971869
P10481,36887368,Esther Nyong'o,M,1976-01-29,Kericho,Kericho East,Cash,0722-302843
P10482,22203031,Richard Nyong'o,F,1961-07-03,Kericho,Soin Sigowet,Private,0722-391734
P10483,21326254,James Jepkosgei,F,1990-06-06,Kericho,Kipkelion,Cash,0798-698256
P10484,24460741,Richard Atieno,F,1988-06-04,Kericho,Kericho East,Cash,0741-904326
P10485,24124698,Jane Kiptoo,M,2010-12-20,Kericho,Bureti,Company,0769-556467
P10486,37022070,Lucy Nyong'o,M,1965-10-08,Kericho,Kipkelion,NHIF,0745-979946
P10487,13182324,Robert Omondi,F,2015-10-23,Bomet,Soin Sigowet,NHIF,0719-119969
P10488,39050010,Thomas Kipchoge,F,2019-01-04,Kericho,Kericho West,NHIF,0780-366656
P10489,09974591,Esther Nyong'o,F,1985-03-19,Kericho,Kipkelion,Cash,0727-575613
P10490,26627802,Thomas Chebet,F,1995-01-20,Kericho,Soin Sigowet,Private,0788-800269
P10491,29945348,Thomas Korir,M,1966-01-27,Kericho,Kipkelion,Private,0771-467141
P10492,15552474,Grace Nyong'o,M,1973-09-19,Kericho,Kericho West,NHIF,0795-311630
P10493,31519304,Ann Mwangi,F,1954-03-02,Kericho,Soin Sigowet,Cash,0723-820633
P10494,38831299,William Kiptoo,M,1983-10-17,Kericho,Belgut,Cash,0785-769955
P10495,16883679,James Omondi,F,1969-12-30,Kericho,Belgut,Cash,0754-598911
P10496,00442764,Ruth Atieno,M,1989-06-19,Kericho,Kericho West,NHIF,0775-758387
P10497,12543028,Michael Korir,M,1982-07-01,Kericho,Soin Sigowet,NHIF,0794-335524
P10498,32314036,David Chebet,F,1992-12-22,Kericho,Kipkelion,Private,0792-953520
P10499,02895368,John Jepkosgei,M,2001-06-14,Kericho,Kericho West,Private,0790-624140
